experiment,dataset,llm,configuration,replicate_id,success,selected_iteration,train_metric,validation_metric,test_metric,metric_name,runtime_minutes
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_data_representation+none,treated_doorstep_offended,True,2.0,0.7657378184233645,0.7758159367338324,0.6492484499382674,AUPRC,77.87
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_data_exploration+none,deceived_scooter_laugh,False,,,,,AUPRC,54.27
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_data_exploration+none,aerosol_width_chewed,False,,,,,AUPRC,34.9
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_model_architecture+none,alleged_miner_hand,True,3.0,0.8206835411016398,0.6367317788066131,0.6815646478342166,AUPRC,123.98
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_model_training+none,victimized_frog_clap,False,,,,,AUPRC,101.63
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_model_training+none,unpleasant_dingo_paddle,False,,,,,AUPRC,64.58
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_model_training+none,terrifying_encampment_brake,False,1.0,0.5232924140981761,0.5316869764253813,,AUPRC,109.2
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_data_representation+none,emissary_stole_recognise,True,2.0,0.6548914214635635,0.655323495671892,0.6439729752713589,AUPRC,73.53
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_data_representation+none,avaricious_formation_brushed,True,4.0,0.7402705209427888,0.7400659255319658,0.7043827694161269,AUPRC,99.83
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_model_architecture+none,inclusive_grocer_knelt,True,4.0,0.7415652866138975,0.7349044752811856,0.6498460205708121,AUPRC,75.37
ablation_study_test_friday,AGO2_CLASH_Hejret,gpt-oss:20b,no_model_architecture+none,molecular_coconut_telephone,False,,,,,AUPRC,52.73
ablation_v1,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,no_final_outcome+none,centered_foyer_sip,True,0.0,0.749106629509547,0.712052210216347,0.720406726099158,AUPRC,41.97
ablation_v1,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,baseline+none,uplifted_opossum_sprouted,True,2.0,0.8143367224908147,0.8137304241757115,0.7264658468299485,AUPRC,28.25
ablation_v1,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,no_data_exploration+none,unintended_ambulance_decorate,True,4.0,0.75553110222442,0.7438629755333485,0.7082684459772832,AUPRC,15.25
ablation_v1,AGO2_CLASH_Hejret,google/gemini-3-flash-preview,no_data_split+none,sentient_lily_strip,True,3.0,0.8233786015565869,0.7610463730972137,0.7406360844178571,AUPRC,33.4
